,Morocco,,Maroc,
Semaine,Facebook,Twitter,Facebook,Twitter
1/14/2018,,,,
1/21/2018,,,,
1/28/2018,,,,
2/4/2018,,,,
2/11/2018,,,,
2/18/2018,,,,
2/25/2018,,,,
3/4/2018,,,,
3/11/2018,,,,
3/18/2018,,,,
3/25/2018,,,,
4/1/2018,,,,
4/8/2018,,,,
4/15/2018,,,,
4/22/2018,,,,
4/29/2018,,,,
5/6/2018,,,,
5/13/2018,,,,
5/20/2018,,,,
5/27/2018,,,,
6/3/2018,,,,
6/10/2018,,,,
6/17/2018,,,,
6/24/2018,,,,
7/1/2018,,,,
7/8/2018,,,,
7/15/2018,,,,
7/22/2018,,,,
7/29/2018,,,,
8/5/2018,,,,
8/12/2018,,,,
8/19/2018,,,,
8/26/2018,,,,
9/2/2018,,,,
9/9/2018,,,,
9/16/2018,,,,
9/23/2018,,,,
9/30/2018,,,,
10/7/2018,,,,
10/14/2018,,,,
10/21/2018,,,,
10/28/2018,,,,
11/4/2018,,,,
11/11/2018,,,,
11/18/2018,,,,
11/25/2018,,,,
12/2/2018,,,,
12/9/2018,,,,
12/16/2018,,,,
12/23/2018,,,,
12/30/2018,,,,
1/6/2019,,,,
