Catégorie : Toutes catégories

Semaine,Facebook: (Syrie),Twitter: (Syrie)
2018-01-14,100,5
2018-01-21,82,5
2018-01-28,81,4
2018-02-04,81,5
2018-02-11,79,5
2018-02-18,83,5
2018-02-25,86,5
2018-03-04,85,5
2018-03-11,81,6
2018-03-18,85,5
2018-03-25,81,6
2018-04-01,84,5
2018-04-08,80,7
2018-04-15,80,6
2018-04-22,79,6
2018-04-29,80,7
2018-05-06,82,7
2018-05-13,84,5
2018-05-20,86,4
2018-05-27,85,5
2018-06-03,86,6
2018-06-10,76,5
2018-06-17,75,8
2018-06-24,65,7
2018-07-01,67,8
2018-07-08,69,7
2018-07-15,69,9
2018-07-22,74,8
2018-07-29,67,8
2018-08-05,66,9
2018-08-12,66,8
2018-08-19,67,9
2018-08-26,66,9
2018-09-02,61,9
2018-09-09,61,8
2018-09-16,63,8
2018-09-23,57,8
2018-09-30,56,8
2018-10-07,56,8
2018-10-14,54,9
2018-10-21,52,7
2018-10-28,52,7
2018-11-04,54,8
2018-11-11,54,8
2018-11-18,55,8
2018-11-25,51,6
2018-12-02,51,8
2018-12-09,52,8
2018-12-16,50,9
2018-12-23,53,8
2018-12-30,54,8
2019-01-06,47,8
