Catégorie : Toutes catégories

Semaine,Facebook: (Jordanie),Twitter: (Jordanie)
2018-01-14,100,8
2018-01-21,98,7
2018-01-28,100,7
2018-02-04,98,8
2018-02-11,92,7
2018-02-18,90,7
2018-02-25,92,7
2018-03-04,92,8
2018-03-11,90,8
2018-03-18,90,7
2018-03-25,90,7
2018-04-01,87,8
2018-04-08,86,8
2018-04-15,86,8
2018-04-22,85,7
2018-04-29,84,7
2018-05-06,83,7
2018-05-13,90,7
2018-05-20,89,7
2018-05-27,89,8
2018-06-03,92,9
2018-06-10,85,8
2018-06-17,80,8
2018-06-24,81,8
2018-07-01,80,8
2018-07-08,79,8
2018-07-15,76,8
2018-07-22,78,8
2018-07-29,78,8
2018-08-05,81,8
2018-08-12,79,8
2018-08-19,81,9
2018-08-26,81,8
2018-09-02,77,7
2018-09-09,78,8
2018-09-16,74,8
2018-09-23,71,8
2018-09-30,73,8
2018-10-07,72,8
2018-10-14,72,8
2018-10-21,74,9
2018-10-28,73,9
2018-11-04,69,8
2018-11-11,73,8
2018-11-18,71,8
2018-11-25,69,9
2018-12-02,69,9
2018-12-09,69,8
2018-12-16,67,8
2018-12-23,66,9
2018-12-30,69,9
2019-01-06,68,7
