Catégorie : Toutes catégories

Semaine,Facebook: (Irak),Twitter: (Irak)
2018-01-14,100,4
2018-01-21,94,4
2018-01-28,96,4
2018-02-04,95,4
2018-02-11,94,4
2018-02-18,89,4
2018-02-25,89,4
2018-03-04,88,4
2018-03-11,89,5
2018-03-18,91,4
2018-03-25,88,4
2018-04-01,88,4
2018-04-08,86,4
2018-04-15,82,4
2018-04-22,83,4
2018-04-29,82,4
2018-05-06,85,4
2018-05-13,84,4
2018-05-20,85,4
2018-05-27,80,4
2018-06-03,77,4
2018-06-10,74,4
2018-06-17,69,4
2018-06-24,67,3
2018-07-01,67,4
2018-07-08,70,4
2018-07-15,88,4
2018-07-22,69,4
2018-07-29,64,4
2018-08-05,63,4
2018-08-12,65,4
2018-08-19,64,4
2018-08-26,61,4
2018-09-02,64,4
2018-09-09,63,4
2018-09-16,63,4
2018-09-23,60,4
2018-09-30,58,4
2018-10-07,58,4
2018-10-14,57,4
2018-10-21,55,4
2018-10-28,53,4
2018-11-04,55,4
2018-11-11,54,4
2018-11-18,54,4
2018-11-25,54,4
2018-12-02,56,4
2018-12-09,54,4
2018-12-16,52,4
2018-12-23,52,5
2018-12-30,53,4
2019-01-06,49,4
