Catégorie : Toutes catégories

Semaine,Facebook: (Koweït),Twitter: (Koweït)
2018-01-14,58,79
2018-01-21,57,77
2018-01-28,56,77
2018-02-04,56,75
2018-02-11,59,75
2018-02-18,58,82
2018-02-25,57,82
2018-03-04,58,74
2018-03-11,57,76
2018-03-18,63,79
2018-03-25,59,77
2018-04-01,56,79
2018-04-08,60,81
2018-04-15,54,80
2018-04-22,54,81
2018-04-29,55,79
2018-05-06,54,82
2018-05-13,51,68
2018-05-20,50,68
2018-05-27,51,67
2018-06-03,48,65
2018-06-10,47,74
2018-06-17,50,86
2018-06-24,48,83
2018-07-01,46,80
2018-07-08,44,79
2018-07-15,45,81
2018-07-22,47,85
2018-07-29,48,81
2018-08-05,45,80
2018-08-12,46,76
2018-08-19,44,89
2018-08-26,49,84
2018-09-02,47,79
2018-09-09,46,79
2018-09-16,45,79
2018-09-23,45,79
2018-09-30,48,83
2018-10-07,46,81
2018-10-14,48,87
2018-10-21,46,92
2018-10-28,47,82
2018-11-04,43,100
2018-11-11,48,97
2018-11-18,46,92
2018-11-25,43,93
2018-12-02,42,88
2018-12-09,44,94
2018-12-16,42,89
2018-12-23,42,89
2018-12-30,41,97
2019-01-06,41,85
