Catégorie : Toutes catégories

Semaine,Facebook: (Arabie saoudite),Twitter: (Arabie saoudite)
2018-01-14,43,83
2018-01-21,40,79
2018-01-28,40,74
2018-02-04,40,75
2018-02-11,39,78
2018-02-18,40,80
2018-02-25,38,80
2018-03-04,38,78
2018-03-11,38,77
2018-03-18,38,77
2018-03-25,36,84
2018-04-01,36,88
2018-04-08,36,87
2018-04-15,36,82
2018-04-22,37,87
2018-04-29,35,85
2018-05-06,36,83
2018-05-13,32,69
2018-05-20,32,68
2018-05-27,33,73
2018-06-03,31,71
2018-06-10,34,90
2018-06-17,35,100
2018-06-24,32,88
2018-07-01,31,86
2018-07-08,32,88
2018-07-15,30,90
2018-07-22,32,85
2018-07-29,31,82
2018-08-05,31,87
2018-08-12,32,84
2018-08-19,32,96
2018-08-26,31,89
2018-09-02,29,85
2018-09-09,30,87
2018-09-16,29,85
2018-09-23,28,87
2018-09-30,28,84
2018-10-07,27,86
2018-10-14,28,98
2018-10-21,27,96
2018-10-28,27,94
2018-11-04,26,98
2018-11-11,28,92
2018-11-18,28,90
2018-11-25,25,89
2018-12-02,27,91
2018-12-09,26,89
2018-12-16,25,88
2018-12-23,25,91
2018-12-30,25,93
2019-01-06,24,87
