Catégorie : Toutes catégories

Semaine,Facebook: (Yémen),Twitter: (Yémen)
2018-01-14,94,75
2018-01-21,93,81
2018-01-28,97,79
2018-02-04,97,79
2018-02-11,93,79
2018-02-18,84,82
2018-02-25,85,86
2018-03-04,82,79
2018-03-11,83,84
2018-03-18,87,84
2018-03-25,82,93
2018-04-01,86,91
2018-04-08,83,86
2018-04-15,83,90
2018-04-22,86,91
2018-04-29,84,88
2018-05-06,78,91
2018-05-13,88,69
2018-05-20,92,64
2018-05-27,88,74
2018-06-03,94,74
2018-06-10,80,86
2018-06-17,74,94
2018-06-24,72,92
2018-07-01,76,90
2018-07-08,73,90
2018-07-15,72,94
2018-07-22,73,94
2018-07-29,75,93
2018-08-05,70,91
2018-08-12,74,94
2018-08-19,75,99
2018-08-26,75,97
2018-09-02,72,91
2018-09-09,69,92
2018-09-16,70,90
2018-09-23,68,93
2018-09-30,68,90
2018-10-07,68,89
2018-10-14,66,93
2018-10-21,66,96
2018-10-28,65,98
2018-11-04,66,96
2018-11-11,69,100
2018-11-18,65,95
2018-11-25,66,91
2018-12-02,64,90
2018-12-09,60,95
2018-12-16,59,92
2018-12-23,61,93
2018-12-30,55,94
2019-01-06,57,98
