Catégorie : Toutes catégories

Semaine,Facebook: (Qatar),Twitter: (Qatar)
2018-01-14,98,39
2018-01-21,96,32
2018-01-28,100,31
2018-02-04,95,34
2018-02-11,88,34
2018-02-18,90,31
2018-02-25,85,33
2018-03-04,88,37
2018-03-11,91,35
2018-03-18,94,37
2018-03-25,95,34
2018-04-01,89,39
2018-04-08,86,37
2018-04-15,90,37
2018-04-22,86,39
2018-04-29,89,37
2018-05-06,83,39
2018-05-13,81,33
2018-05-20,80,30
2018-05-27,85,26
2018-06-03,85,29
2018-06-10,78,33
2018-06-17,79,41
2018-06-24,81,37
2018-07-01,73,36
2018-07-08,82,38
2018-07-15,85,36
2018-07-22,83,40
2018-07-29,80,34
2018-08-05,76,39
2018-08-12,78,35
2018-08-19,80,44
2018-08-26,75,37
2018-09-02,75,36
2018-09-09,72,33
2018-09-16,68,36
2018-09-23,69,36
2018-09-30,71,33
2018-10-07,66,36
2018-10-14,66,45
2018-10-21,69,49
2018-10-28,66,39
2018-11-04,68,43
2018-11-11,66,40
2018-11-18,66,38
2018-11-25,63,40
2018-12-02,67,34
2018-12-09,65,42
2018-12-16,69,40
2018-12-23,64,42
2018-12-30,72,40
2019-01-06,73,39
