Catégorie : Toutes catégories

Semaine,Facebook: (Bahreïn),Twitter: (Bahreïn)
2018-01-14,100,65
2018-01-21,95,60
2018-01-28,95,56
2018-02-04,93,56
2018-02-11,94,60
2018-02-18,95,54
2018-02-25,87,59
2018-03-04,82,55
2018-03-11,84,59
2018-03-18,95,67
2018-03-25,95,66
2018-04-01,86,62
2018-04-08,95,68
2018-04-15,90,59
2018-04-22,85,65
2018-04-29,80,64
2018-05-06,84,62
2018-05-13,84,52
2018-05-20,82,50
2018-05-27,80,44
2018-06-03,81,51
2018-06-10,76,64
2018-06-17,71,74
2018-06-24,71,69
2018-07-01,78,61
2018-07-08,78,59
2018-07-15,74,65
2018-07-22,82,63
2018-07-29,78,61
2018-08-05,70,67
2018-08-12,76,66
2018-08-19,83,77
2018-08-26,69,72
2018-09-02,72,66
2018-09-09,76,62
2018-09-16,71,67
2018-09-23,77,61
2018-09-30,69,61
2018-10-07,74,69
2018-10-14,73,69
2018-10-21,69,69
2018-10-28,69,72
2018-11-04,70,68
2018-11-11,77,67
2018-11-18,71,69
2018-11-25,69,69
2018-12-02,67,69
2018-12-09,61,69
2018-12-16,67,74
2018-12-23,64,73
2018-12-30,68,76
2019-01-06,59,82
