Catégorie : Toutes catégories

Semaine,Facebook: (Oman),Twitter: (Oman)
2018-01-14,57,78
2018-01-21,57,76
2018-01-28,61,76
2018-02-04,58,76
2018-02-11,54,68
2018-02-18,57,68
2018-02-25,56,76
2018-03-04,55,73
2018-03-11,55,70
2018-03-18,55,76
2018-03-25,54,73
2018-04-01,52,78
2018-04-08,54,84
2018-04-15,56,78
2018-04-22,54,77
2018-04-29,56,75
2018-05-06,53,80
2018-05-13,49,65
2018-05-20,51,81
2018-05-27,57,68
2018-06-03,56,65
2018-06-10,54,80
2018-06-17,49,93
2018-06-24,45,84
2018-07-01,49,89
2018-07-08,46,84
2018-07-15,47,87
2018-07-22,47,87
2018-07-29,48,87
2018-08-05,48,84
2018-08-12,45,85
2018-08-19,49,96
2018-08-26,45,91
2018-09-02,47,85
2018-09-09,44,84
2018-09-16,42,82
2018-09-23,43,78
2018-09-30,43,83
2018-10-07,39,91
2018-10-14,41,90
2018-10-21,42,93
2018-10-28,40,95
2018-11-04,41,87
2018-11-11,41,90
2018-11-18,46,100
2018-11-25,40,82
2018-12-02,37,81
2018-12-09,38,83
2018-12-16,39,84
2018-12-23,36,87
2018-12-30,40,89
2019-01-06,34,88
