Catégorie : Toutes catégories

Semaine,Facebook: (Djibouti),Twitter: (Djibouti)
2018-01-14,82,2
2018-01-21,86,2
2018-01-28,92,2
2018-02-04,89,2
2018-02-11,91,2
2018-02-18,95,2
2018-02-25,90,2
2018-03-04,85,1
2018-03-11,89,2
2018-03-18,95,1
2018-03-25,91,4
2018-04-01,83,2
2018-04-08,91,2
2018-04-15,82,3
2018-04-22,91,0
2018-04-29,66,6
2018-05-06,73,3
2018-05-13,100,1
2018-05-20,85,2
2018-05-27,80,2
2018-06-03,95,3
2018-06-10,84,3
2018-06-17,63,3
2018-06-24,67,4
2018-07-01,87,1
2018-07-08,64,4
2018-07-15,73,5
2018-07-22,76,9
2018-07-29,82,5
2018-08-05,92,3
2018-08-12,74,4
2018-08-19,75,7
2018-08-26,67,3
2018-09-02,69,3
2018-09-09,78,5
2018-09-16,78,3
2018-09-23,82,5
2018-09-30,79,4
2018-10-07,81,2
2018-10-14,79,3
2018-10-21,68,3
2018-10-28,66,1
2018-11-04,56,4
2018-11-11,57,4
2018-11-18,63,3
2018-11-25,64,3
2018-12-02,58,4
2018-12-09,45,8
2018-12-16,54,3
2018-12-23,73,4
2018-12-30,63,3
2019-01-06,63,0
