Catégorie : Toutes catégories

Semaine,Facebook: (Algérie),Twitter: (Algérie)
2018-01-14,98,2
2018-01-21,99,2
2018-01-28,95,2
2018-02-04,97,2
2018-02-11,97,2
2018-02-18,94,2
2018-02-25,95,2
2018-03-04,95,2
2018-03-11,97,2
2018-03-18,96,2
2018-03-25,97,2
2018-04-01,93,2
2018-04-08,94,2
2018-04-15,94,2
2018-04-22,93,2
2018-04-29,93,2
2018-05-06,92,2
2018-05-13,99,2
2018-05-20,100,2
2018-05-27,97,2
2018-06-03,94,1
2018-06-10,93,2
2018-06-17,86,2
2018-06-24,89,2
2018-07-01,87,2
2018-07-08,88,2
2018-07-15,88,2
2018-07-22,90,2
2018-07-29,91,2
2018-08-05,87,2
2018-08-12,86,2
2018-08-19,88,2
2018-08-26,82,2
2018-09-02,83,2
2018-09-09,83,2
2018-09-16,81,2
2018-09-23,76,2
2018-09-30,72,2
2018-10-07,72,2
2018-10-14,69,1
2018-10-21,70,2
2018-10-28,69,2
2018-11-04,68,1
2018-11-11,69,2
2018-11-18,70,2
2018-11-25,66,1
2018-12-02,65,2
2018-12-09,66,1
2018-12-16,71,2
2018-12-23,73,2
2018-12-30,72,2
2019-01-06,66,2
