Catégorie : Toutes catégories

Semaine,Facebook: (Somalie),Twitter: (Somalie)
2018-01-14,90,8
2018-01-21,100,8
2018-01-28,98,8
2018-02-04,90,9
2018-02-11,87,8
2018-02-18,83,7
2018-02-25,87,7
2018-03-04,88,8
2018-03-11,78,8
2018-03-18,76,10
2018-03-25,76,9
2018-04-01,77,10
2018-04-08,73,11
2018-04-15,77,6
2018-04-22,77,11
2018-04-29,67,8
2018-05-06,76,7
2018-05-13,77,6
2018-05-20,68,7
2018-05-27,75,11
2018-06-03,74,7
2018-06-10,80,8
2018-06-17,67,8
2018-06-24,66,6
2018-07-01,73,10
2018-07-08,68,7
2018-07-15,69,8
2018-07-22,69,8
2018-07-29,76,8
2018-08-05,63,8
2018-08-12,63,8
2018-08-19,60,6
2018-08-26,68,6
2018-09-02,61,9
2018-09-09,61,10
2018-09-16,59,6
2018-09-23,54,6
2018-09-30,54,7
2018-10-07,51,7
2018-10-14,55,7
2018-10-21,47,7
2018-10-28,56,9
2018-11-04,53,8
2018-11-11,50,7
2018-11-18,51,8
2018-11-25,52,9
2018-12-02,55,7
2018-12-09,55,9
2018-12-16,45,9
2018-12-23,52,9
2018-12-30,57,11
2019-01-06,42,4
