Catégorie : Toutes catégories

Semaine,Facebook: (Mauritanie),Twitter: (Mauritanie)
2018-01-14,92,4
2018-01-21,100,4
2018-01-28,96,4
2018-02-04,87,5
2018-02-11,88,3
2018-02-18,84,8
2018-02-25,88,6
2018-03-04,96,4
2018-03-11,92,7
2018-03-18,89,5
2018-03-25,88,7
2018-04-01,97,6
2018-04-08,84,5
2018-04-15,83,7
2018-04-22,94,5
2018-04-29,84,7
2018-05-06,86,3
2018-05-13,90,5
2018-05-20,92,5
2018-05-27,97,4
2018-06-03,85,6
2018-06-10,84,5
2018-06-17,70,4
2018-06-24,81,5
2018-07-01,63,4
2018-07-08,82,4
2018-07-15,68,4
2018-07-22,87,7
2018-07-29,86,5
2018-08-05,76,6
2018-08-12,78,7
2018-08-19,75,6
2018-08-26,81,8
2018-09-02,76,4
2018-09-09,80,3
2018-09-16,70,5
2018-09-23,61,5
2018-09-30,73,4
2018-10-07,75,7
2018-10-14,75,8
2018-10-21,63,7
2018-10-28,66,4
2018-11-04,74,6
2018-11-11,71,7
2018-11-18,79,5
2018-11-25,69,7
2018-12-02,65,6
2018-12-09,65,7
2018-12-16,59,6
2018-12-23,61,3
2018-12-30,74,5
2019-01-06,61,10
