Catégorie : Toutes catégories

Semaine,Facebook: (Émirats arabes unis),Twitter: (Émirats arabes unis)
2018-01-14,94,33
2018-01-21,95,33
2018-01-28,96,33
2018-02-04,96,32
2018-02-11,97,34
2018-02-18,97,33
2018-02-25,92,35
2018-03-04,91,34
2018-03-11,92,34
2018-03-18,97,35
2018-03-25,100,35
2018-04-01,97,35
2018-04-08,92,36
2018-04-15,92,34
2018-04-22,88,34
2018-04-29,85,35
2018-05-06,90,34
2018-05-13,84,28
2018-05-20,82,29
2018-05-27,83,31
2018-06-03,82,32
2018-06-10,84,35
2018-06-17,83,40
2018-06-24,79,36
2018-07-01,80,36
2018-07-08,81,37
2018-07-15,81,37
2018-07-22,84,37
2018-07-29,88,36
2018-08-05,81,37
2018-08-12,82,35
2018-08-19,86,41
2018-08-26,81,36
2018-09-02,79,34
2018-09-09,76,35
2018-09-16,75,32
2018-09-23,73,33
2018-09-30,72,35
2018-10-07,70,34
2018-10-14,73,37
2018-10-21,73,35
2018-10-28,69,37
2018-11-04,70,36
2018-11-11,68,37
2018-11-18,70,36
2018-11-25,69,40
2018-12-02,65,39
2018-12-09,66,37
2018-12-16,68,40
2018-12-23,68,37
2018-12-30,68,40
2019-01-06,63,39
