Catégorie : Toutes catégories

Semaine,Facebook: (Tunisie),Twitter: (Tunisie)
2018-01-14,100,1
2018-01-21,97,1
2018-01-28,97,1
2018-02-04,97,1
2018-02-11,97,1
2018-02-18,95,1
2018-02-25,94,1
2018-03-04,93,1
2018-03-11,96,1
2018-03-18,94,1
2018-03-25,96,1
2018-04-01,94,1
2018-04-08,94,1
2018-04-15,99,1
2018-04-22,99,1
2018-04-29,93,1
2018-05-06,93,1
2018-05-13,95,1
2018-05-20,91,1
2018-05-27,93,1
2018-06-03,94,1
2018-06-10,90,1
2018-06-17,88,1
2018-06-24,87,1
2018-07-01,88,1
2018-07-08,90,1
2018-07-15,91,1
2018-07-22,91,1
2018-07-29,90,1
2018-08-05,89,1
2018-08-12,87,1
2018-08-19,91,1
2018-08-26,87,1
2018-09-02,92,1
2018-09-09,87,1
2018-09-16,84,1
2018-09-23,82,1
2018-09-30,81,1
2018-10-07,80,1
2018-10-14,80,1
2018-10-21,80,1
2018-10-28,79,1
2018-11-04,78,1
2018-11-11,77,1
2018-11-18,79,1
2018-11-25,75,1
2018-12-02,74,1
2018-12-09,78,1
2018-12-16,77,1
2018-12-23,78,1
2018-12-30,76,1
2019-01-06,66,1
