Catégorie : Toutes catégories

Semaine,Facebook: (Libye),Twitter: (Libye)
2018-01-14,86,8
2018-01-21,87,7
2018-01-28,86,7
2018-02-04,88,8
2018-02-11,86,8
2018-02-18,80,8
2018-02-25,82,8
2018-03-04,83,7
2018-03-11,83,9
2018-03-18,80,9
2018-03-25,78,7
2018-04-01,75,8
2018-04-08,75,8
2018-04-15,76,7
2018-04-22,74,7
2018-04-29,74,8
2018-05-06,76,7
2018-05-13,80,7
2018-05-20,82,6
2018-05-27,81,6
2018-06-03,79,7
2018-06-10,70,8
2018-06-17,67,9
2018-06-24,64,9
2018-07-01,65,9
2018-07-08,67,9
2018-07-15,66,9
2018-07-22,68,9
2018-07-29,66,9
2018-08-05,66,10
2018-08-12,66,9
2018-08-19,64,9
2018-08-26,72,10
2018-09-02,100,11
2018-09-09,66,9
2018-09-16,61,8
2018-09-23,66,8
2018-09-30,60,7
2018-10-07,60,8
2018-10-14,57,8
2018-10-21,59,7
2018-10-28,51,8
2018-11-04,55,8
2018-11-11,56,7
2018-11-18,57,8
2018-11-25,52,8
2018-12-02,53,8
2018-12-09,52,8
2018-12-16,50,8
2018-12-23,50,8
2018-12-30,48,9
2019-01-06,56,7
