Catégorie : Toutes catégories

Semaine,Facebook: (Égypte),Twitter: (Égypte)
2018-01-14,99,5
2018-01-21,100,4
2018-01-28,95,4
2018-02-04,94,4
2018-02-11,91,4
2018-02-18,90,4
2018-02-25,91,4
2018-03-04,91,4
2018-03-11,91,4
2018-03-18,92,4
2018-03-25,89,4
2018-04-01,89,5
2018-04-08,87,4
2018-04-15,89,4
2018-04-22,87,5
2018-04-29,88,5
2018-05-06,86,4
2018-05-13,90,4
2018-05-20,89,4
2018-05-27,87,5
2018-06-03,88,4
2018-06-10,79,4
2018-06-17,76,5
2018-06-24,76,5
2018-07-01,77,4
2018-07-08,77,4
2018-07-15,77,4
2018-07-22,78,4
2018-07-29,78,4
2018-08-05,77,4
2018-08-12,77,4
2018-08-19,78,4
2018-08-26,71,4
2018-09-02,72,4
2018-09-09,72,4
2018-09-16,70,4
2018-09-23,69,4
2018-09-30,66,4
2018-10-07,66,4
2018-10-14,66,4
2018-10-21,65,4
2018-10-28,64,4
2018-11-04,65,4
2018-11-11,67,4
2018-11-18,66,4
2018-11-25,63,4
2018-12-02,61,4
2018-12-09,59,4
2018-12-16,56,4
2018-12-23,56,4
2018-12-30,59,4
2019-01-06,55,4
