Catégorie : Toutes catégories

Semaine,Facebook: (Soudan),Twitter: (Soudan)
2018-01-14,86,8
2018-01-21,87,7
2018-01-28,88,7
2018-02-04,88,8
2018-02-11,87,7
2018-02-18,84,7
2018-02-25,83,7
2018-03-04,84,7
2018-03-11,88,8
2018-03-18,82,9
2018-03-25,89,8
2018-04-01,94,8
2018-04-08,88,8
2018-04-15,88,7
2018-04-22,88,9
2018-04-29,86,8
2018-05-06,94,8
2018-05-13,97,7
2018-05-20,100,7
2018-05-27,98,8
2018-06-03,99,7
2018-06-10,90,8
2018-06-17,79,8
2018-06-24,79,9
2018-07-01,71,8
2018-07-08,73,8
2018-07-15,74,10
2018-07-22,79,9
2018-07-29,73,9
2018-08-05,71,9
2018-08-12,76,9
2018-08-19,81,10
2018-08-26,74,10
2018-09-02,72,10
2018-09-09,70,10
2018-09-16,70,9
2018-09-23,67,9
2018-09-30,67,10
2018-10-07,65,12
2018-10-14,67,10
2018-10-21,67,10
2018-10-28,66,9
2018-11-04,66,11
2018-11-11,65,10
2018-11-18,67,10
2018-11-25,63,10
2018-12-02,60,10
2018-12-09,56,10
2018-12-16,90,12
2018-12-23,89,12
2018-12-30,77,10
2019-01-06,75,10
