Catégorie : Toutes catégories

Semaine,Facebook: (Palestine),Twitter: (Palestine)
2018-01-14,100,4
2018-01-21,98,4
2018-01-28,97,3
2018-02-04,99,3
2018-02-11,96,4
2018-02-18,95,4
2018-02-25,97,4
2018-03-04,99,3
2018-03-11,97,4
2018-03-18,94,4
2018-03-25,94,4
2018-04-01,90,4
2018-04-08,86,4
2018-04-15,90,4
2018-04-22,87,4
2018-04-29,88,4
2018-05-06,85,4
2018-05-13,90,4
2018-05-20,88,4
2018-05-27,87,4
2018-06-03,87,4
2018-06-10,86,4
2018-06-17,84,5
2018-06-24,80,4
2018-07-01,80,4
2018-07-08,82,3
2018-07-15,80,4
2018-07-22,84,4
2018-07-29,88,4
2018-08-05,80,4
2018-08-12,78,4
2018-08-19,82,3
2018-08-26,79,4
2018-09-02,77,3
2018-09-09,76,4
2018-09-16,75,3
2018-09-23,73,4
2018-09-30,71,4
2018-10-07,73,4
2018-10-14,68,3
2018-10-21,69,3
2018-10-28,66,4
2018-11-04,66,4
2018-11-11,69,4
2018-11-18,65,4
2018-11-25,64,4
2018-12-02,62,4
2018-12-09,61,4
2018-12-16,64,4
2018-12-23,58,4
2018-12-30,58,4
2019-01-06,55,3
