Catégorie : Toutes catégories

Semaine,Facebook: (Liban),Twitter: (Liban)
2018-01-14,89,7
2018-01-21,90,7
2018-01-28,92,7
2018-02-04,100,8
2018-02-11,96,5
2018-02-18,95,7
2018-02-25,91,7
2018-03-04,94,6
2018-03-11,94,6
2018-03-18,91,7
2018-03-25,90,7
2018-04-01,96,8
2018-04-08,89,8
2018-04-15,86,7
2018-04-22,88,6
2018-04-29,92,7
2018-05-06,87,8
2018-05-13,88,7
2018-05-20,89,6
2018-05-27,84,6
2018-06-03,86,7
2018-06-10,79,8
2018-06-17,77,7
2018-06-24,80,7
2018-07-01,73,6
2018-07-08,73,7
2018-07-15,80,8
2018-07-22,78,8
2018-07-29,83,8
2018-08-05,78,7
2018-08-12,76,7
2018-08-19,78,8
2018-08-26,81,7
2018-09-02,81,7
2018-09-09,82,7
2018-09-16,78,7
2018-09-23,76,8
2018-09-30,72,7
2018-10-07,67,6
2018-10-14,72,7
2018-10-21,67,7
2018-10-28,68,8
2018-11-04,69,8
2018-11-11,69,6
2018-11-18,74,7
2018-11-25,70,8
2018-12-02,66,8
2018-12-09,65,7
2018-12-16,65,7
2018-12-23,67,7
2018-12-30,64,8
2019-01-06,70,4
