Catégorie : Toutes catégories

Semaine,Facebook: (Maroc),Twitter: (Maroc)
2018-01-14,96,2
2018-01-21,99,1
2018-01-28,100,1
2018-02-04,92,2
2018-02-11,93,1
2018-02-18,92,1
2018-02-25,90,1
2018-03-04,88,1
2018-03-11,87,1
2018-03-18,90,1
2018-03-25,91,1
2018-04-01,87,2
2018-04-08,91,2
2018-04-15,90,2
2018-04-22,88,1
2018-04-29,92,2
2018-05-06,89,1
2018-05-13,93,1
2018-05-20,97,1
2018-05-27,89,2
2018-06-03,91,2
2018-06-10,86,2
2018-06-17,81,2
2018-06-24,78,2
2018-07-01,77,2
2018-07-08,78,2
2018-07-15,80,2
2018-07-22,79,2
2018-07-29,77,2
2018-08-05,77,2
2018-08-12,74,2
2018-08-19,83,2
2018-08-26,79,1
2018-09-02,78,1
2018-09-09,77,1
2018-09-16,75,1
2018-09-23,73,1
2018-09-30,73,1
2018-10-07,69,1
2018-10-14,69,1
2018-10-21,66,1
2018-10-28,70,2
2018-11-04,67,1
2018-11-11,65,1
2018-11-18,67,1
2018-11-25,63,1
2018-12-02,63,1
2018-12-09,62,1
2018-12-16,62,1
2018-12-23,62,1
2018-12-30,65,2
2019-01-06,62,2
