Catégorie : Toutes catégories

Semaine,Facebook: (Comores),Twitter: (Comores)
2018-01-14,87,2
2018-01-21,46,2
2018-01-28,62,0
2018-02-04,78,3
2018-02-11,80,0
2018-02-18,100,0
2018-02-25,90,2
2018-03-04,54,0
2018-03-11,58,0
2018-03-18,62,3
2018-03-25,73,3
2018-04-01,62,0
2018-04-08,50,0
2018-04-15,53,0
2018-04-22,69,0
2018-04-29,63,0
2018-05-06,57,3
2018-05-13,72,3
2018-05-20,70,3
2018-05-27,74,0
2018-06-03,77,0
2018-06-10,61,0
2018-06-17,59,3
2018-06-24,48,0
2018-07-01,58,0
2018-07-08,57,2
2018-07-15,41,3
2018-07-22,81,0
2018-07-29,44,2
2018-08-05,53,0
2018-08-12,67,0
2018-08-19,62,0
2018-08-26,40,0
2018-09-02,49,2
2018-09-09,40,7
2018-09-16,58,2
2018-09-23,33,0
2018-09-30,47,0
2018-10-07,49,0
2018-10-14,48,0
2018-10-21,31,0
2018-10-28,41,0
2018-11-04,37,0
2018-11-11,34,3
2018-11-18,40,0
2018-11-25,42,0
2018-12-02,36,6
2018-12-09,40,0
2018-12-16,45,0
2018-12-23,72,0
2018-12-30,49,0
2019-01-06,23,0
